"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Baujahrgr-18-45-69-90-";"Gebäudeart";"Anzahl Wohnungen";"Anzahl leerstehende Wohnungen"
"1999";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Mehrfamilienhaus";5;2
"1999";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Mehrfamilienhaus";952;68
"1999";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Mehrfamilienhaus";21;15
"1999";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"ab 1991";"Mehrfamilienhaus";35;27
"1999";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Mehrfamilienhaus";16;0
"1999";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Mehrfamilienhaus";4021;342
"1999";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Mehrfamilienhaus";84;4
"1999";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"ab 1991";"Mehrfamilienhaus";83;15
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Eigenheim";13;3
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Mehrfamilienhaus";88;23
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Eigenheim";16;2
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Mehrfamilienhaus";37;6
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Eigenheim";4;0
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Mehrfamilienhaus";3264;737
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Eigenheim";1;0
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Mehrfamilienhaus";464;15
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"ab 1991";"Mehrfamilienhaus";278;69
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Eigenheim";7;3
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Mehrfamilienhaus";330;173
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Mehrfamilienhaus";15;13
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Mehrfamilienhaus";4337;166
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Mehrfamilienhaus";77;6
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"ab 1991";"Mehrfamilienhaus";185;50
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Eigenheim";23;8
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";" bis 1918";"Mehrfamilienhaus";2094;908
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Eigenheim";2;0
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1919 - 1945";"Mehrfamilienhaus";236;75
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Eigenheim";4;0
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1946 - 1969";"Mehrfamilienhaus";141;27
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1970 - 1990";"Mehrfamilienhaus";536;74
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"ab 1991";"Mehrfamilienhaus";1117;387
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";" bis 1918";"Eigenheim";1;0
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";" bis 1918";"Mehrfamilienhaus";1094;286
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";"1919 - 1945";"Eigenheim";5;0
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";"1919 - 1945";"Mehrfamilienhaus";666;325
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";"1946 - 1969";"Mehrfamilienhaus";50;15
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";"1970 - 1990";"Mehrfamilienhaus";3487;234
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";"ab 1991";"Mehrfamilienhaus";648;139
"1999";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";" bis 1918";"Mehrfamilienhaus";119;39
"1999";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";"1919 - 1945";"Mehrfamilienhaus";23;5
"1999";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";"1946 - 1969";"Eigenheim";1;0
"1999";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";"1946 - 1969";"Mehrfamilienhaus";3018;163
